"","boxscore_links"
"109","https://www.basketball-reference.com/teams/SAS/2017.html"
"110","https://www.basketball-reference.com/teams/MIA/2017.html"
"111","https://www.basketball-reference.com/boxscores/201610300MIA.html"
"112","https://www.basketball-reference.com/teams/GSW/2017.html"
"113","https://www.basketball-reference.com/teams/PHO/2017.html"
"114","https://www.basketball-reference.com/boxscores/201610300PHO.html"
"115","https://www.basketball-reference.com/teams/LAL/2017.html"
"116","https://www.basketball-reference.com/teams/OKC/2017.html"
"117","https://www.basketball-reference.com/boxscores/201610300OKC.html"
"118","https://www.basketball-reference.com/teams/DAL/2017.html"
"119","https://www.basketball-reference.com/teams/HOU/2017.html"
"120","https://www.basketball-reference.com/boxscores/201610300HOU.html"
"121","https://www.basketball-reference.com/teams/WAS/2017.html"
"122","https://www.basketball-reference.com/teams/MEM/2017.html"
"123","https://www.basketball-reference.com/boxscores/201610300MEM.html"
"124","https://www.basketball-reference.com/teams/SAC/2017.html"
"125","https://www.basketball-reference.com/teams/ATL/2017.html"
"126","https://www.basketball-reference.com/boxscores/201610310ATL.html"
"127","https://www.basketball-reference.com/teams/CHI/2017.html"
"128","https://www.basketball-reference.com/teams/BRK/2017.html"
"129","https://www.basketball-reference.com/boxscores/201610310BRK.html"
"130","https://www.basketball-reference.com/teams/DEN/2017.html"
"131","https://www.basketball-reference.com/teams/TOR/2017.html"
"132","https://www.basketball-reference.com/boxscores/201610310TOR.html"
"133","https://www.basketball-reference.com/teams/PHO/2017.html"
"134","https://www.basketball-reference.com/teams/LAC/2017.html"
"135","https://www.basketball-reference.com/boxscores/201610310LAC.html"
"136","https://www.basketball-reference.com/teams/HOU/2017.html"
"137","https://www.basketball-reference.com/teams/CLE/2017.html"
"138","https://www.basketball-reference.com/boxscores/201611010CLE.html"
"139","https://www.basketball-reference.com/teams/LAL/2017.html"
"140","https://www.basketball-reference.com/teams/IND/2017.html"
"141","https://www.basketball-reference.com/boxscores/201611010IND.html"
"142","https://www.basketball-reference.com/teams/ORL/2017.html"
"143","https://www.basketball-reference.com/teams/PHI/2017.html"
"144","https://www.basketball-reference.com/boxscores/201611010PHI.html"
"145","https://www.basketball-reference.com/teams/NYK/2017.html"
"146","https://www.basketball-reference.com/teams/DET/2017.html"
"147","https://www.basketball-reference.com/boxscores/201611010DET.html"
"148","https://www.basketball-reference.com/teams/SAC/2017.html"
"149","https://www.basketball-reference.com/teams/MIA/2017.html"
"150","https://www.basketball-reference.com/boxscores/201611010MIA.html"
"151","https://www.basketball-reference.com/teams/MEM/2017.html"
"152","https://www.basketball-reference.com/teams/MIN/2017.html"
"153","https://www.basketball-reference.com/boxscores/201611010MIN.html"
"154","https://www.basketball-reference.com/teams/MIL/2017.html"
"155","https://www.basketball-reference.com/teams/NOP/2017.html"
"156","https://www.basketball-reference.com/boxscores/201611010NOP.html"
"157","https://www.basketball-reference.com/teams/UTA/2017.html"
"158","https://www.basketball-reference.com/teams/SAS/2017.html"
"159","https://www.basketball-reference.com/boxscores/201611010SAS.html"
"160","https://www.basketball-reference.com/teams/GSW/2017.html"
"161","https://www.basketball-reference.com/teams/POR/2017.html"
"162","https://www.basketball-reference.com/boxscores/201611010POR.html"
"163","https://www.basketball-reference.com/teams/PHI/2017.html"
"164","https://www.basketball-reference.com/teams/CHO/2017.html"
"165","https://www.basketball-reference.com/boxscores/201611020CHO.html"
"166","https://www.basketball-reference.com/teams/TOR/2017.html"
"167","https://www.basketball-reference.com/teams/WAS/2017.html"
"168","https://www.basketball-reference.com/boxscores/201611020WAS.html"
"169","https://www.basketball-reference.com/teams/LAL/2017.html"
"170","https://www.basketball-reference.com/teams/ATL/2017.html"
"171","https://www.basketball-reference.com/boxscores/201611020ATL.html"
"172","https://www.basketball-reference.com/teams/DET/2017.html"
"173","https://www.basketball-reference.com/teams/BRK/2017.html"
"174","https://www.basketball-reference.com/boxscores/201611020BRK.html"
"175","https://www.basketball-reference.com/teams/HOU/2017.html"
"176","https://www.basketball-reference.com/teams/NYK/2017.html"
"177","https://www.basketball-reference.com/boxscores/201611020NYK.html"
"178","https://www.basketball-reference.com/teams/CHI/2017.html"
"179","https://www.basketball-reference.com/teams/BOS/2017.html"
"180","https://www.basketball-reference.com/boxscores/201611020BOS.html"
"181","https://www.basketball-reference.com/teams/NOP/2017.html"
"182","https://www.basketball-reference.com/teams/MEM/2017.html"
"183","https://www.basketball-reference.com/boxscores/201611020MEM.html"
"184","https://www.basketball-reference.com/teams/DAL/2017.html"
"185","https://www.basketball-reference.com/teams/UTA/2017.html"
"186","https://www.basketball-reference.com/boxscores/201611020UTA.html"
"187","https://www.basketball-reference.com/teams/POR/2017.html"
"188","https://www.basketball-reference.com/teams/PHO/2017.html"
"189","https://www.basketball-reference.com/boxscores/201611020PHO.html"
"190","https://www.basketball-reference.com/teams/OKC/2017.html"
"191","https://www.basketball-reference.com/teams/LAC/2017.html"
"192","https://www.basketball-reference.com/boxscores/201611020LAC.html"
"193","https://www.basketball-reference.com/teams/SAC/2017.html"
"194","https://www.basketball-reference.com/teams/ORL/2017.html"
"195","https://www.basketball-reference.com/boxscores/201611030ORL.html"
"196","https://www.basketball-reference.com/teams/BOS/2017.html"
"197","https://www.basketball-reference.com/teams/CLE/2017.html"
"198","https://www.basketball-reference.com/boxscores/201611030CLE.html"
"199","https://www.basketball-reference.com/teams/IND/2017.html"
"200","https://www.basketball-reference.com/teams/MIL/2017.html"
"201","https://www.basketball-reference.com/boxscores/201611030MIL.html"
"202","https://www.basketball-reference.com/teams/DEN/2017.html"
"203","https://www.basketball-reference.com/teams/MIN/2017.html"
"204","https://www.basketball-reference.com/boxscores/201611030MIN.html"
"205","https://www.basketball-reference.com/teams/OKC/2017.html"
"206","https://www.basketball-reference.com/teams/GSW/2017.html"
"207","https://www.basketball-reference.com/boxscores/201611030GSW.html"
"208","https://www.basketball-reference.com/teams/ATL/2017.html"
"209","https://www.basketball-reference.com/teams/WAS/2017.html"
"210","https://www.basketball-reference.com/boxscores/201611040WAS.html"
"211","https://www.basketball-reference.com/teams/CHO/2017.html"
"212","https://www.basketball-reference.com/teams/BRK/2017.html"
"213","https://www.basketball-reference.com/boxscores/201611040BRK.html"
"214","https://www.basketball-reference.com/teams/MIA/2017.html"
"215","https://www.basketball-reference.com/teams/TOR/2017.html"
"216","https://www.basketball-reference.com/boxscores/201611040TOR.html"
"217","https://www.basketball-reference.com/teams/NYK/2017.html"
"218","https://www.basketball-reference.com/teams/CHI/2017.html"
"219","https://www.basketball-reference.com/boxscores/201611040CHI.html"
"220","https://www.basketball-reference.com/teams/LAC/2017.html"
"221","https://www.basketball-reference.com/teams/MEM/2017.html"
"222","https://www.basketball-reference.com/boxscores/201611040MEM.html"
"223","https://www.basketball-reference.com/teams/PHO/2017.html"
"224","https://www.basketball-reference.com/teams/NOP/2017.html"
"225","https://www.basketball-reference.com/boxscores/201611040NOP.html"
"226","https://www.basketball-reference.com/teams/POR/2017.html"
"227","https://www.basketball-reference.com/teams/DAL/2017.html"
"228","https://www.basketball-reference.com/boxscores/201611040DAL.html"
"229","https://www.basketball-reference.com/teams/SAS/2017.html"
"230","https://www.basketball-reference.com/teams/UTA/2017.html"
"231","https://www.basketball-reference.com/boxscores/201611040UTA.html"
"232","https://www.basketball-reference.com/teams/GSW/2017.html"
"233","https://www.basketball-reference.com/teams/LAL/2017.html"
"234","https://www.basketball-reference.com/boxscores/201611040LAL.html"
"235","https://www.basketball-reference.com/teams/MIN/2017.html"
"236","https://www.basketball-reference.com/teams/OKC/2017.html"
"237","https://www.basketball-reference.com/boxscores/201611050OKC.html"
"238","https://www.basketball-reference.com/teams/DEN/2017.html"
"239","https://www.basketball-reference.com/teams/DET/2017.html"
"240","https://www.basketball-reference.com/boxscores/201611050DET.html"
"241","https://www.basketball-reference.com/teams/CHI/2017.html"
"242","https://www.basketball-reference.com/teams/IND/2017.html"
"243","https://www.basketball-reference.com/boxscores/201611050IND.html"
"244","https://www.basketball-reference.com/teams/WAS/2017.html"
"245","https://www.basketball-reference.com/teams/ORL/2017.html"
"246","https://www.basketball-reference.com/boxscores/201611050ORL.html"
"247","https://www.basketball-reference.com/teams/CLE/2017.html"
"248","https://www.basketball-reference.com/teams/PHI/2017.html"
"249","https://www.basketball-reference.com/boxscores/201611050PHI.html"
"250","https://www.basketball-reference.com/teams/HOU/2017.html"
"251","https://www.basketball-reference.com/teams/ATL/2017.html"
"252","https://www.basketball-reference.com/boxscores/201611050ATL.html"
"253","https://www.basketball-reference.com/teams/SAC/2017.html"
"254","https://www.basketball-reference.com/teams/MIL/2017.html"
"255","https://www.basketball-reference.com/boxscores/201611050MIL.html"
"256","https://www.basketball-reference.com/teams/LAC/2017.html"
"257","https://www.basketball-reference.com/teams/SAS/2017.html"
"258","https://www.basketball-reference.com/boxscores/201611050SAS.html"
