"","mp","fg","fga","fg_pct","fg3","fg3a","fg3_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","plus_minus"
"totals_away336","240","34","82",".415","9","20",".450","24","27",".889","8","42","50","12","9","2","11","22","101",""
"totals_away337","240","31","90",".344","6","27",".222","16","21",".762","23","23","46","18","6","3","13","18","84",""
"totals_away338","240","40","84",".476","12","34",".353","22","29",".759","9","37","46","32","7","8","17","11","114",""
"totals_away339","240","42","84",".500","14","29",".483","19","23",".826","11","31","42","23","6","1","7","23","117",""
"totals_away340","240","36","92",".391","11","42",".262","19","30",".633","16","36","52","26","9","1","15","24","102",""
"totals_away341","240","32","69",".464","14","25",".560","25","26",".962","4","34","38","21","5","4","13","18","103",""
"totals_away342","240","45","95",".474","13","30",".433","16","21",".762","9","35","44","26","8","8","7","24","119",""
"totals_away343","240","36","84",".429","10","29",".345","21","25",".840","12","42","54","22","3","6","16","25","103",""
"totals_away344","240","40","82",".488","16","37",".432","15","16",".938","9","32","41","22","6","4","17","20","111",""
"totals_away345","240","47","83",".566","8","19",".421","19","25",".760","9","35","44","25","2","4","12","20","121",""
"totals_away346","240","40","79",".506","13","25",".520","12","15",".800","7","33","40","22","1","3","20","21","105",""
"totals_away347","240","39","86",".453","10","27",".370","17","24",".708","12","27","39","24","5","0","14","24","105",""
"totals_away348","240","42","91",".462","5","20",".250","11","18",".611","14","29","43","25","5","5","12","22","100",""
"totals_away349","240","32","79",".405","11","34",".324","12","14",".857","6","26","32","18","7","3","9","18","87",""
"totals_away350","240","34","77",".442","9","27",".333","12","20",".600","10","32","42","15","6","8","23","23","89",""
"totals_away351","240","36","87",".414","7","27",".259","22","25",".880","11","36","47","21","6","2","16","16","101",""
"totals_away352","240","34","90",".378","9","26",".346","7","13",".538","12","22","34","17","10","4","10","14","84",""
"totals_away353","240","40","83",".482","8","19",".421","17","26",".654","8","26","34","25","3","1","16","15","105",""
"totals_away354","240","38","68",".559","7","17",".412","14","17",".824","5","37","42","24","11","4","20","13","97",""
"totals_away355","240","38","83",".458","13","32",".406","27","30",".900","6","31","37","30","9","4","8","24","116",""
"totals_away356","240","40","90",".444","11","32",".344","5","8",".625","12","28","40","28","9","4","13","22","96",""
"totals_away357","265","38","97",".392","16","40",".400","28","35",".800","14","35","49","24","12","4","11","27","120",""
"totals_away358","240","41","84",".488","10","22",".455","26","31",".839","8","36","44","21","9","11","10","15","118",""
"totals_away359","240","28","84",".333","10","26",".385","28","32",".875","9","37","46","16","8","4","13","15","94",""
"totals_away360","240","39","84",".464","5","23",".217","18","22",".818","10","27","37","17","8","1","14","22","101",""
"totals_away361","240","42","89",".472","4","24",".167","12","17",".706","12","25","37","27","8","3","11","20","100",""
"totals_away362","240","42","80",".525","7","20",".350","27","36",".750","6","35","41","21","9","4","19","27","118",""
"totals_away363","240","35","83",".422","7","25",".280","15","18",".833","20","23","43","19","6","3","16","15","92",""
"totals_away364","240","44","87",".506","10","21",".476","22","25",".880","13","29","42","25","6","7","15","24","120",""
"totals_away365","240","33","84",".393","10","23",".435","16","21",".762","17","22","39","18","12","3","19","16","92",""
"totals_away366","240","35","86",".407","4","22",".182","12","15",".800","11","32","43","19","10","6","15","23","86",""
"totals_away367","240","51","87",".586","15","34",".441","14","20",".700","5","23","28","36","8","5","9","17","131",""
"totals_away368","240","38","86",".442","6","21",".286","17","22",".773","14","34","48","24","3","8","14","14","99",""
"totals_away369","240","42","95",".442","14","34",".412","15","19",".789","9","36","45","30","6","5","12","12","113",""
"totals_away370","265","38","97",".392","7","20",".350","28","38",".737","11","32","43","23","10","4","13","27","111",""
"totals_away371","240","33","87",".379","8","27",".296","21","28",".750","16","27","43","18","10","2","21","21","95",""
"totals_away372","240","33","89",".371","9","27",".333","14","17",".824","6","32","38","14","8","5","8","21","89",""
"totals_away373","240","37","74",".500","13","25",".520","26","37",".703","7","35","42","21","6","5","11","20","113",""
"totals_away374","240","41","87",".471","10","29",".345","31","36",".861","15","24","39","21","9","3","9","20","123",""
"totals_away375","240","38","74",".514","14","33",".424","16","21",".762","5","28","33","25","7","8","18","18","106",""
