"","date","away_team","points_away","home_team","points_home","attendance","home_win","point_difference","abs_point_dif","season","win_percentage"
"54",2016-11-01,"Golden State Warriors",127,"Portland Trail Blazers",104,19393,0,-23,23,"2016-17",58.1395348837209
"55",2016-11-02,"Philadelphia 76ers",93,"Charlotte Hornets",109,15275,1,16,16,"2016-17",53.6585365853659
"56",2016-11-02,"Toronto Raptors",113,"Washington Wizards",103,19581,0,-10,10,"2016-17",76.5957446808511
"57",2016-11-02,"Los Angeles Lakers",123,"Atlanta Hawks",116,13800,0,-7,7,"2016-17",56.8181818181818
"58",2016-11-02,"Detroit Pistons",101,"Brooklyn Nets",109,13650,1,8,8,"2016-17",31.7073170731707
"59",2016-11-02,"Houston Rockets",118,"New York Knicks",99,19812,0,-19,19,"2016-17",46.3414634146341
"60",2016-11-02,"Chicago Bulls",100,"Boston Celtics",107,18624,1,7,7,"2016-17",68.6274509803922
"61",2016-11-02,"New Orleans Pelicans",83,"Memphis Grizzlies",89,15881,1,6,6,"2016-17",59.0909090909091
"62",2016-11-02,"Dallas Mavericks",81,"Utah Jazz",97,19318,1,16,16,"2016-17",65.2173913043478
"63",2016-11-02,"Portland Trail Blazers",115,"Phoenix Suns",118,17284,1,3,3,"2016-17",36.5853658536585
"64",2016-11-02,"Oklahoma City Thunder",85,"Los Angeles Clippers",83,19060,0,-2,2,"2016-17",66.6666666666667
"65",2016-11-03,"Sacramento Kings",94,"Orlando Magic",102,17026,1,8,8,"2016-17",39.0243902439024
"66",2016-11-03,"Boston Celtics",122,"Cleveland Cavaliers",128,20562,1,6,6,"2016-17",75.5102040816327
"67",2016-11-03,"Indiana Pacers",107,"Milwaukee Bucks",125,11374,1,18,18,"2016-17",54.5454545454545
"68",2016-11-03,"Denver Nuggets",102,"Minnesota Timberwolves",99,11219,0,-3,3,"2016-17",48.780487804878
"69",2016-11-03,"Oklahoma City Thunder",96,"Golden State Warriors",122,19596,1,26,26,"2016-17",90
"70",2016-11-04,"Atlanta Hawks",92,"Washington Wizards",95,14663,1,3,3,"2016-17",76.5957446808511
"71",2016-11-04,"Charlotte Hornets",99,"Brooklyn Nets",95,15775,0,-4,4,"2016-17",31.7073170731707
"72",2016-11-04,"Miami Heat",87,"Toronto Raptors",96,19800,1,9,9,"2016-17",65.2173913043478
"73",2016-11-04,"New York Knicks",117,"Chicago Bulls",104,22376,0,-13,13,"2016-17",56.8181818181818
"74",2016-11-04,"Los Angeles Clippers",99,"Memphis Grizzlies",88,17115,0,-11,11,"2016-17",59.0909090909091
"75",2016-11-04,"Phoenix Suns",112,"New Orleans Pelicans",111,15379,0,-1,1,"2016-17",51.219512195122
"76",2016-11-04,"Portland Trail Blazers",105,"Dallas Mavericks",95,19475,0,-10,10,"2016-17",51.219512195122
"77",2016-11-04,"San Antonio Spurs",100,"Utah Jazz",86,19911,0,-14,14,"2016-17",65.2173913043478
"78",2016-11-04,"Golden State Warriors",97,"Los Angeles Lakers",117,18997,1,20,20,"2016-17",41.4634146341463
"79",2016-11-05,"Minnesota Timberwolves",92,"Oklahoma City Thunder",112,18203,1,20,20,"2016-17",67.4418604651163
"80",2016-11-05,"Denver Nuggets",86,"Detroit Pistons",103,16218,1,17,17,"2016-17",58.5365853658537
"81",2016-11-05,"Chicago Bulls",94,"Indiana Pacers",111,17020,1,17,17,"2016-17",67.4418604651163
"82",2016-11-05,"Washington Wizards",86,"Orlando Magic",88,18846,1,2,2,"2016-17",39.0243902439024
"83",2016-11-05,"Cleveland Cavaliers",102,"Philadelphia 76ers",101,20497,0,-1,1,"2016-17",41.4634146341463
"84",2016-11-05,"Houston Rockets",97,"Atlanta Hawks",112,16895,1,15,15,"2016-17",56.8181818181818
"85",2016-11-05,"Sacramento Kings",91,"Milwaukee Bucks",117,16021,1,26,26,"2016-17",54.5454545454545
"86",2016-11-05,"Los Angeles Clippers",116,"San Antonio Spurs",92,18418,0,-24,24,"2016-17",73.469387755102
"87",2016-11-06,"Utah Jazz",114,"New York Knicks",109,19812,0,-5,5,"2016-17",46.3414634146341
"88",2016-11-06,"Portland Trail Blazers",100,"Memphis Grizzlies",94,16233,0,-6,6,"2016-17",59.0909090909091
"89",2016-11-06,"Sacramento Kings",96,"Toronto Raptors",91,19800,0,-5,5,"2016-17",65.2173913043478
"90",2016-11-06,"Milwaukee Bucks",75,"Dallas Mavericks",86,19345,1,11,11,"2016-17",51.219512195122
"91",2016-11-06,"Denver Nuggets",123,"Boston Celtics",107,17452,0,-16,16,"2016-17",68.6274509803922
"92",2016-11-06,"Phoenix Suns",108,"Los Angeles Lakers",119,18997,1,11,11,"2016-17",41.4634146341463
"93",2016-11-07,"Indiana Pacers",100,"Charlotte Hornets",122,16880,1,22,22,"2016-17",53.6585365853659
"94",2016-11-07,"Utah Jazz",109,"Philadelphia 76ers",84,14168,0,-25,25,"2016-17",41.4634146341463
"95",2016-11-07,"Houston Rockets",114,"Washington Wizards",106,13173,0,-8,8,"2016-17",76.5957446808511
