"","date","away_team","points_away","home_team","points_home","attendance","home_win","point_difference","abs_point_dif","season","win_percentage"
"1215",2017-04-11,"New Orleans Pelicans",96,"Los Angeles Lakers",108,18997,1,12,12,"2016-17",41.4634146341463
"1216",2017-04-11,"Phoenix Suns",104,"Sacramento Kings",129,17608,1,25,25,"2016-17",41.4634146341463
"1217",2017-04-12,"Milwaukee Bucks",94,"Boston Celtics",112,18624,1,18,18,"2016-17",68.6274509803922
"1218",2017-04-12,"Brooklyn Nets",73,"Chicago Bulls",112,21648,1,39,39,"2016-17",56.8181818181818
"1219",2017-04-12,"Toronto Raptors",98,"Cleveland Cavaliers",83,20562,0,-15,15,"2016-17",75.5102040816327
"1220",2017-04-12,"Minnesota Timberwolves",118,"Houston Rockets",123,18055,1,5,5,"2016-17",72.3404255319149
"1221",2017-04-12,"Atlanta Hawks",86,"Indiana Pacers",104,17923,1,18,18,"2016-17",67.4418604651163
"1222",2017-04-12,"Dallas Mavericks",100,"Memphis Grizzlies",93,16274,0,-7,7,"2016-17",59.0909090909091
"1223",2017-04-12,"Washington Wizards",102,"Miami Heat",110,19963,1,8,8,"2016-17",56.0975609756098
"1224",2017-04-12,"Philadelphia 76ers",113,"New York Knicks",114,19812,1,1,1,"2016-17",46.3414634146341
"1225",2017-04-12,"Denver Nuggets",111,"Oklahoma City Thunder",105,18203,0,-6,6,"2016-17",67.4418604651163
"1226",2017-04-12,"Detroit Pistons",109,"Orlando Magic",113,19458,1,4,4,"2016-17",39.0243902439024
"1227",2017-04-12,"San Antonio Spurs",97,"Utah Jazz",101,19911,1,4,4,"2016-17",65.2173913043478
"1228",2017-04-12,"Los Angeles Lakers",94,"Golden State Warriors",109,19596,1,15,15,"2016-17",90
"1229",2017-04-12,"Sacramento Kings",95,"Los Angeles Clippers",115,19060,1,20,20,"2016-17",66.6666666666667
"1230",2017-04-12,"New Orleans Pelicans",103,"Portland Trail Blazers",100,19521,0,-3,3,"2016-17",58.1395348837209
"1231",2017-04-15,"Indiana Pacers",108,"Cleveland Cavaliers",109,20562,1,1,1,"2016-17",75.5102040816327
"1232",2017-04-15,"Milwaukee Bucks",97,"Toronto Raptors",83,20133,0,-14,14,"2016-17",65.2173913043478
"1233",2017-04-15,"Memphis Grizzlies",82,"San Antonio Spurs",111,18418,1,29,29,"2016-17",73.469387755102
"1234",2017-04-15,"Utah Jazz",97,"Los Angeles Clippers",95,19060,0,-2,2,"2016-17",66.6666666666667
"1235",2017-04-16,"Atlanta Hawks",107,"Washington Wizards",114,20356,1,7,7,"2016-17",76.5957446808511
"1236",2017-04-16,"Portland Trail Blazers",109,"Golden State Warriors",121,19596,1,12,12,"2016-17",90
"1237",2017-04-16,"Chicago Bulls",106,"Boston Celtics",102,18624,0,-4,4,"2016-17",68.6274509803922
"1238",2017-04-16,"Oklahoma City Thunder",87,"Houston Rockets",118,18055,1,31,31,"2016-17",72.3404255319149
"1239",2017-04-17,"Indiana Pacers",111,"Cleveland Cavaliers",117,20562,1,6,6,"2016-17",75.5102040816327
"1240",2017-04-17,"Memphis Grizzlies",82,"San Antonio Spurs",96,18418,1,14,14,"2016-17",73.469387755102
"1241",2017-04-18,"Milwaukee Bucks",100,"Toronto Raptors",106,20077,1,6,6,"2016-17",65.2173913043478
"1242",2017-04-18,"Chicago Bulls",111,"Boston Celtics",97,18624,0,-14,14,"2016-17",68.6274509803922
"1243",2017-04-18,"Utah Jazz",91,"Los Angeles Clippers",99,19060,1,8,8,"2016-17",66.6666666666667
"1244",2017-04-19,"Atlanta Hawks",101,"Washington Wizards",109,20356,1,8,8,"2016-17",76.5957446808511
"1245",2017-04-19,"Oklahoma City Thunder",111,"Houston Rockets",115,18055,1,4,4,"2016-17",72.3404255319149
"1246",2017-04-19,"Portland Trail Blazers",81,"Golden State Warriors",110,19596,1,29,29,"2016-17",90
"1247",2017-04-20,"Cleveland Cavaliers",119,"Indiana Pacers",114,17923,0,-5,5,"2016-17",67.4418604651163
"1248",2017-04-20,"Toronto Raptors",77,"Milwaukee Bucks",104,18717,1,27,27,"2016-17",54.5454545454545
"1249",2017-04-20,"San Antonio Spurs",94,"Memphis Grizzlies",105,18119,1,11,11,"2016-17",59.0909090909091
"1250",2017-04-21,"Boston Celtics",104,"Chicago Bulls",87,21293,0,-17,17,"2016-17",56.8181818181818
"1251",2017-04-21,"Houston Rockets",113,"Oklahoma City Thunder",115,18203,1,2,2,"2016-17",67.4418604651163
"1252",2017-04-21,"Los Angeles Clippers",111,"Utah Jazz",106,19911,0,-5,5,"2016-17",65.2173913043478
"1253",2017-04-22,"Toronto Raptors",87,"Milwaukee Bucks",76,18717,0,-11,11,"2016-17",54.5454545454545
"1254",2017-04-22,"Washington Wizards",98,"Atlanta Hawks",116,18866,1,18,18,"2016-17",56.8181818181818
"1255",2017-04-22,"San Antonio Spurs",108,"Memphis Grizzlies",110,18119,1,2,2,"2016-17",59.0909090909091
"1256",2017-04-22,"Golden State Warriors",119,"Portland Trail Blazers",113,20177,0,-6,6,"2016-17",58.1395348837209
"1257",2017-04-23,"Cleveland Cavaliers",106,"Indiana Pacers",102,17923,0,-4,4,"2016-17",67.4418604651163
"1258",2017-04-23,"Houston Rockets",113,"Oklahoma City Thunder",109,18203,0,-4,4,"2016-17",67.4418604651163
"1259",2017-04-23,"Boston Celtics",104,"Chicago Bulls",95,21863,0,-9,9,"2016-17",56.8181818181818
"1260",2017-04-23,"Los Angeles Clippers",98,"Utah Jazz",105,19911,1,7,7,"2016-17",65.2173913043478
"1261",2017-04-24,"Milwaukee Bucks",93,"Toronto Raptors",118,20251,1,25,25,"2016-17",65.2173913043478
"1262",2017-04-24,"Washington Wizards",101,"Atlanta Hawks",111,18676,1,10,10,"2016-17",56.8181818181818
"1263",2017-04-24,"Golden State Warriors",128,"Portland Trail Blazers",103,19902,0,-25,25,"2016-17",58.1395348837209
"1264",2017-04-25,"Oklahoma City Thunder",99,"Houston Rockets",105,18055,1,6,6,"2016-17",72.3404255319149
"1265",2017-04-25,"Memphis Grizzlies",103,"San Antonio Spurs",116,18418,1,13,13,"2016-17",73.469387755102
"1266",2017-04-25,"Utah Jazz",96,"Los Angeles Clippers",92,19171,0,-4,4,"2016-17",66.6666666666667
"1267",2017-04-26,"Atlanta Hawks",99,"Washington Wizards",103,20356,1,4,4,"2016-17",76.5957446808511
"1268",2017-04-26,"Chicago Bulls",97,"Boston Celtics",108,18624,1,11,11,"2016-17",68.6274509803922
"1269",2017-04-27,"Toronto Raptors",92,"Milwaukee Bucks",89,18717,0,-3,3,"2016-17",54.5454545454545
"1270",2017-04-27,"San Antonio Spurs",103,"Memphis Grizzlies",96,18119,0,-7,7,"2016-17",59.0909090909091
"1271",2017-04-28,"Washington Wizards",115,"Atlanta Hawks",99,18849,0,-16,16,"2016-17",56.8181818181818
"1272",2017-04-28,"Boston Celtics",105,"Chicago Bulls",83,21682,0,-22,22,"2016-17",56.8181818181818
"1273",2017-04-28,"Los Angeles Clippers",98,"Utah Jazz",93,19911,0,-5,5,"2016-17",65.2173913043478
"1274",2017-04-30,"Washington Wizards",111,"Boston Celtics",123,18624,1,12,12,"2016-17",68.6274509803922
"1275",2017-04-30,"Utah Jazz",104,"Los Angeles Clippers",91,19060,0,-13,13,"2016-17",66.6666666666667
"1276",2017-05-01,"Toronto Raptors",105,"Cleveland Cavaliers",116,20562,1,11,11,"2016-17",75.5102040816327
"1277",2017-05-01,"Houston Rockets",126,"San Antonio Spurs",99,18418,0,-27,27,"2016-17",73.469387755102
"1278",2017-05-02,"Washington Wizards",119,"Boston Celtics",129,18624,1,10,10,"2016-17",68.6274509803922
"1279",2017-05-02,"Utah Jazz",94,"Golden State Warriors",106,19596,1,12,12,"2016-17",90
"1280",2017-05-03,"Toronto Raptors",103,"Cleveland Cavaliers",125,20562,1,22,22,"2016-17",75.5102040816327
"1281",2017-05-03,"Houston Rockets",96,"San Antonio Spurs",121,18418,1,25,25,"2016-17",73.469387755102
"1282",2017-05-04,"Boston Celtics",89,"Washington Wizards",116,20356,1,27,27,"2016-17",76.5957446808511
"1283",2017-05-04,"Utah Jazz",104,"Golden State Warriors",115,19596,1,11,11,"2016-17",90
"1284",2017-05-05,"Cleveland Cavaliers",115,"Toronto Raptors",94,20384,0,-21,21,"2016-17",65.2173913043478
"1285",2017-05-05,"San Antonio Spurs",103,"Houston Rockets",92,18187,0,-11,11,"2016-17",72.3404255319149
"1286",2017-05-06,"Golden State Warriors",102,"Utah Jazz",91,19911,0,-11,11,"2016-17",65.2173913043478
"1287",2017-05-07,"Cleveland Cavaliers",109,"Toronto Raptors",102,20307,0,-7,7,"2016-17",65.2173913043478
"1288",2017-05-07,"Boston Celtics",102,"Washington Wizards",121,20356,1,19,19,"2016-17",76.5957446808511
"1289",2017-05-07,"San Antonio Spurs",104,"Houston Rockets",125,18055,1,21,21,"2016-17",72.3404255319149
"1290",2017-05-08,"Golden State Warriors",121,"Utah Jazz",95,19911,0,-26,26,"2016-17",65.2173913043478
"1291",2017-05-09,"Houston Rockets",107,"San Antonio Spurs",110,18418,1,3,3,"2016-17",73.469387755102
"1292",2017-05-10,"Washington Wizards",101,"Boston Celtics",123,18624,1,22,22,"2016-17",68.6274509803922
"1293",2017-05-11,"San Antonio Spurs",114,"Houston Rockets",75,18055,0,-39,39,"2016-17",72.3404255319149
"1294",2017-05-12,"Boston Celtics",91,"Washington Wizards",92,20356,1,1,1,"2016-17",76.5957446808511
"1295",2017-05-14,"San Antonio Spurs",111,"Golden State Warriors",113,19596,1,2,2,"2016-17",90
"1296",2017-05-15,"Washington Wizards",105,"Boston Celtics",115,18624,1,10,10,"2016-17",68.6274509803922
"1297",2017-05-16,"San Antonio Spurs",100,"Golden State Warriors",136,19596,1,36,36,"2016-17",90
"1298",2017-05-17,"Cleveland Cavaliers",117,"Boston Celtics",104,18624,0,-13,13,"2016-17",68.6274509803922
"1299",2017-05-19,"Cleveland Cavaliers",130,"Boston Celtics",86,18624,0,-44,44,"2016-17",68.6274509803922
"1300",2017-05-20,"Golden State Warriors",120,"San Antonio Spurs",108,18792,0,-12,12,"2016-17",73.469387755102
"1301",2017-05-21,"Boston Celtics",111,"Cleveland Cavaliers",108,20562,0,-3,3,"2016-17",75.5102040816327
"1302",2017-05-22,"Golden State Warriors",129,"San Antonio Spurs",115,18466,0,-14,14,"2016-17",73.469387755102
"1303",2017-05-23,"Boston Celtics",99,"Cleveland Cavaliers",112,20562,1,13,13,"2016-17",75.5102040816327
"1304",2017-05-25,"Cleveland Cavaliers",135,"Boston Celtics",102,18624,0,-33,33,"2016-17",68.6274509803922
"1305",2017-06-01,"Cleveland Cavaliers",91,"Golden State Warriors",113,19596,1,22,22,"2016-17",90
"1306",2017-06-04,"Cleveland Cavaliers",113,"Golden State Warriors",132,19596,1,19,19,"2016-17",90
"1307",2017-06-07,"Golden State Warriors",118,"Cleveland Cavaliers",113,20562,0,-5,5,"2016-17",75.5102040816327
"1308",2017-06-09,"Golden State Warriors",116,"Cleveland Cavaliers",137,20562,1,21,21,"2016-17",75.5102040816327
"1309",2017-06-12,"Cleveland Cavaliers",120,"Golden State Warriors",129,19596,1,9,9,"2016-17",90
"1310",2017-10-17,"Boston Celtics",99,"Cleveland Cavaliers",102,20562,1,3,3,"2017-18",71.1538461538462
"1311",2017-10-17,"Houston Rockets",122,"Golden State Warriors",121,19596,0,-1,1,"2017-18",75
"1312",2017-10-18,"Charlotte Hornets",90,"Detroit Pistons",102,20491,1,12,12,"2017-18",60.9756097560976
"1313",2017-10-18,"Brooklyn Nets",131,"Indiana Pacers",140,15008,1,9,9,"2017-18",65.9090909090909
"1314",2017-10-18,"Miami Heat",109,"Orlando Magic",116,18846,1,7,7,"2017-18",41.4634146341463
"1315",2017-10-18,"Philadelphia 76ers",115,"Washington Wizards",120,20356,1,5,5,"2017-18",56.8181818181818
"1316",2017-10-18,"Milwaukee Bucks",108,"Boston Celtics",100,18624,0,-8,8,"2017-18",71.1538461538462
"1317",2017-10-18,"New Orleans Pelicans",91,"Memphis Grizzlies",103,17794,1,12,12,"2017-18",39.0243902439024
"1318",2017-10-18,"Atlanta Hawks",117,"Dallas Mavericks",111,19709,0,-6,6,"2017-18",36.5853658536585
"1319",2017-10-18,"Denver Nuggets",96,"Utah Jazz",106,17588,1,10,10,"2017-18",67.3913043478261
"1320",2017-10-18,"Minnesota Timberwolves",99,"San Antonio Spurs",107,18418,1,8,8,"2017-18",79.0697674418605
"1321",2017-10-18,"Portland Trail Blazers",124,"Phoenix Suns",76,18055,0,-48,48,"2017-18",24.390243902439
"1322",2017-10-18,"Houston Rockets",105,"Sacramento Kings",100,17583,0,-5,5,"2017-18",34.1463414634146
"1323",2017-10-19,"Chicago Bulls",100,"Toronto Raptors",117,19800,1,17,17,"2017-18",80.4347826086957
"1324",2017-10-19,"New York Knicks",84,"Oklahoma City Thunder",105,18203,1,21,21,"2017-18",65.9090909090909
"1325",2017-10-19,"Los Angeles Clippers",108,"Los Angeles Lakers",92,18997,0,-16,16,"2017-18",48.780487804878
"1326",2017-10-20,"Atlanta Hawks",91,"Charlotte Hornets",109,18417,1,18,18,"2017-18",51.219512195122
"1327",2017-10-20,"Portland Trail Blazers",114,"Indiana Pacers",96,15325,0,-18,18,"2017-18",65.9090909090909
"1328",2017-10-20,"Cleveland Cavaliers",116,"Milwaukee Bucks",97,18717,0,-19,19,"2017-18",63.6363636363636
"1329",2017-10-20,"Boston Celtics",102,"Philadelphia 76ers",92,20816,0,-10,10,"2017-18",71.7391304347826
"1330",2017-10-20,"Detroit Pistons",111,"Washington Wizards",115,16337,1,4,4,"2017-18",56.8181818181818
"1331",2017-10-20,"Orlando Magic",121,"Brooklyn Nets",126,16144,1,5,5,"2017-18",36.5853658536585
"1332",2017-10-20,"Utah Jazz",97,"Minnesota Timberwolves",100,18978,1,3,3,"2017-18",72.0930232558139
"1333",2017-10-20,"Sacramento Kings",93,"Dallas Mavericks",88,19273,0,-5,5,"2017-18",36.5853658536585
"1334",2017-10-20,"Golden State Warriors",128,"New Orleans Pelicans",120,18171,0,-8,8,"2017-18",60
"1335",2017-10-20,"Los Angeles Lakers",132,"Phoenix Suns",130,18055,0,-2,2,"2017-18",24.390243902439
"1336",2017-10-21,"Philadelphia 76ers",94,"Toronto Raptors",128,19800,1,34,34,"2017-18",80.4347826086957
"1337",2017-10-21,"San Antonio Spurs",87,"Chicago Bulls",77,21640,0,-10,10,"2017-18",41.4634146341463
"1338",2017-10-21,"Orlando Magic",114,"Cleveland Cavaliers",93,20562,0,-21,21,"2017-18",71.1538461538462
"1339",2017-10-21,"Dallas Mavericks",91,"Houston Rockets",107,18055,1,16,16,"2017-18",80.3921568627451
"1340",2017-10-21,"Golden State Warriors",101,"Memphis Grizzlies",111,17794,1,10,10,"2017-18",39.0243902439024
"1341",2017-10-21,"Indiana Pacers",108,"Miami Heat",112,19600,1,4,4,"2017-18",60.4651162790698
"1342",2017-10-21,"Detroit Pistons",111,"New York Knicks",107,19812,0,-4,4,"2017-18",46.3414634146341
"1343",2017-10-21,"Portland Trail Blazers",110,"Milwaukee Bucks",113,16211,1,3,3,"2017-18",63.6363636363636
"1344",2017-10-21,"Sacramento Kings",79,"Denver Nuggets",96,19520,1,17,17,"2017-18",75.609756097561
"1345",2017-10-21,"Oklahoma City Thunder",87,"Utah Jazz",96,18300,1,9,9,"2017-18",67.3913043478261
"1346",2017-10-21,"Phoenix Suns",88,"Los Angeles Clippers",130,19068,1,42,42,"2017-18",53.6585365853659
"1347",2017-10-22,"Atlanta Hawks",104,"Brooklyn Nets",116,13917,1,12,12,"2017-18",36.5853658536585
"1348",2017-10-22,"Minnesota Timberwolves",115,"Oklahoma City Thunder",113,18203,0,-2,2,"2017-18",65.9090909090909
"1349",2017-10-22,"New Orleans Pelicans",119,"Los Angeles Lakers",112,18997,0,-7,7,"2017-18",48.780487804878
"1350",2017-10-23,"Philadelphia 76ers",97,"Detroit Pistons",86,13709,0,-11,11,"2017-18",60.9756097560976
"1351",2017-10-23,"Atlanta Hawks",93,"Miami Heat",104,19600,1,11,11,"2017-18",60.4651162790698
"1352",2017-10-23,"Memphis Grizzlies",98,"Houston Rockets",90,17129,0,-8,8,"2017-18",80.3921568627451
"1353",2017-10-23,"Charlotte Hornets",94,"Milwaukee Bucks",103,12887,1,9,9,"2017-18",63.6363636363636
"1354",2017-10-23,"Golden State Warriors",133,"Dallas Mavericks",103,19875,0,-30,30,"2017-18",36.5853658536585
"1355",2017-10-23,"Toronto Raptors",97,"San Antonio Spurs",101,18418,1,4,4,"2017-18",79.0697674418605
"1356",2017-10-23,"Washington Wizards",109,"Denver Nuggets",104,14294,0,-5,5,"2017-18",75.609756097561
"1357",2017-10-23,"Sacramento Kings",115,"Phoenix Suns",117,14903,1,2,2,"2017-18",24.390243902439
"1358",2017-10-24,"Chicago Bulls",112,"Cleveland Cavaliers",119,20562,1,7,7,"2017-18",71.1538461538462
"1359",2017-10-24,"Brooklyn Nets",121,"Orlando Magic",125,16015,1,4,4,"2017-18",41.4634146341463
"1360",2017-10-24,"New York Knicks",89,"Boston Celtics",110,18624,1,21,21,"2017-18",71.1538461538462
"1361",2017-10-24,"Indiana Pacers",130,"Minnesota Timberwolves",107,14353,0,-23,23,"2017-18",72.0930232558139
"1362",2017-10-24,"New Orleans Pelicans",93,"Portland Trail Blazers",103,19446,1,10,10,"2017-18",65.1162790697674
"1363",2017-10-24,"Utah Jazz",84,"Los Angeles Clippers",102,16607,1,18,18,"2017-18",53.6585365853659
"1364",2017-10-25,"Denver Nuggets",93,"Charlotte Hornets",110,14253,1,17,17,"2017-18",51.219512195122
"1365",2017-10-25,"Minnesota Timberwolves",101,"Detroit Pistons",122,13790,1,21,21,"2017-18",60.9756097560976
"1366",2017-10-25,"Houston Rockets",105,"Philadelphia 76ers",104,20682,0,-1,1,"2017-18",71.7391304347826
"1367",2017-10-25,"Cleveland Cavaliers",107,"Brooklyn Nets",112,17732,1,5,5,"2017-18",36.5853658536585
"1368",2017-10-25,"San Antonio Spurs",117,"Miami Heat",100,19600,0,-17,17,"2017-18",60.4651162790698
"1369",2017-10-25,"Indiana Pacers",96,"Oklahoma City Thunder",114,18203,1,18,18,"2017-18",65.9090909090909
"1370",2017-10-25,"Memphis Grizzlies",94,"Dallas Mavericks",103,19674,1,9,9,"2017-18",36.5853658536585
"1371",2017-10-25,"Utah Jazz",88,"Phoenix Suns",97,16022,1,9,9,"2017-18",24.390243902439
"1372",2017-10-25,"Toronto Raptors",112,"Golden State Warriors",117,19596,1,5,5,"2017-18",75
"1373",2017-10-25,"Washington Wizards",99,"Los Angeles Lakers",102,18996,1,3,3,"2017-18",48.780487804878
"1374",2017-10-26,"Atlanta Hawks",86,"Chicago Bulls",91,21104,1,5,5,"2017-18",41.4634146341463
"1375",2017-10-26,"Dallas Mavericks",91,"Memphis Grizzlies",96,15839,1,5,5,"2017-18",39.0243902439024
"1376",2017-10-26,"Boston Celtics",96,"Milwaukee Bucks",89,11046,0,-7,7,"2017-18",63.6363636363636
"1377",2017-10-26,"Los Angeles Clippers",104,"Portland Trail Blazers",103,18694,0,-1,1,"2017-18",65.1162790697674
"1378",2017-10-26,"New Orleans Pelicans",114,"Sacramento Kings",106,17583,0,-8,8,"2017-18",34.1463414634146
"1379",2017-10-27,"Houston Rockets",109,"Charlotte Hornets",93,17339,0,-16,16,"2017-18",51.219512195122
"1380",2017-10-27,"San Antonio Spurs",87,"Orlando Magic",114,17337,1,27,27,"2017-18",41.4634146341463
"1381",2017-10-27,"Denver Nuggets",105,"Atlanta Hawks",100,16220,0,-5,5,"2017-18",39.0243902439024
"1382",2017-10-27,"Brooklyn Nets",86,"New York Knicks",107,19812,1,21,21,"2017-18",46.3414634146341
"1383",2017-10-27,"Oklahoma City Thunder",116,"Minnesota Timberwolves",119,17620,1,3,3,"2017-18",72.0930232558139
"1384",2017-10-27,"Washington Wizards",117,"Golden State Warriors",120,19596,1,3,3,"2017-18",75
"1385",2017-10-27,"Toronto Raptors",101,"Los Angeles Lakers",92,17876,0,-9,9,"2017-18",48.780487804878
"1386",2017-10-28,"Cleveland Cavaliers",101,"New Orleans Pelicans",123,18539,1,22,22,"2017-18",60
"1387",2017-10-28,"Oklahoma City Thunder",101,"Chicago Bulls",69,21706,0,-32,32,"2017-18",41.4634146341463
"1388",2017-10-28,"Houston Rockets",89,"Memphis Grizzlies",103,17033,1,14,14,"2017-18",39.0243902439024
"1389",2017-10-28,"Boston Celtics",96,"Miami Heat",90,19600,0,-6,6,"2017-18",60.4651162790698
"1390",2017-10-28,"Philadelphia 76ers",112,"Dallas Mavericks",110,19567,0,-2,2,"2017-18",36.5853658536585
"1391",2017-10-28,"Los Angeles Lakers",81,"Utah Jazz",96,18306,1,15,15,"2017-18",67.3913043478261
"1392",2017-10-28,"Phoenix Suns",107,"Portland Trail Blazers",114,19343,1,7,7,"2017-18",65.1162790697674
"1393",2017-10-28,"Detroit Pistons",95,"Los Angeles Clippers",87,17247,0,-8,8,"2017-18",53.6585365853659
"1394",2017-10-29,"Milwaukee Bucks",117,"Atlanta Hawks",106,14014,0,-11,11,"2017-18",39.0243902439024
"1395",2017-10-29,"San Antonio Spurs",94,"Indiana Pacers",97,15013,1,3,3,"2017-18",65.9090909090909
"1396",2017-10-29,"Denver Nuggets",124,"Brooklyn Nets",111,14854,0,-13,13,"2017-18",36.5853658536585
"1397",2017-10-29,"Orlando Magic",113,"Charlotte Hornets",120,15531,1,7,7,"2017-18",51.219512195122
"1398",2017-10-29,"Washington Wizards",110,"Sacramento Kings",83,17583,0,-27,27,"2017-18",34.1463414634146
"1399",2017-10-29,"New York Knicks",114,"Cleveland Cavaliers",95,20562,0,-19,19,"2017-18",71.1538461538462
"1400",2017-10-29,"Detroit Pistons",115,"Golden State Warriors",107,19596,0,-8,8,"2017-18",75
"1401",2017-10-30,"San Antonio Spurs",94,"Boston Celtics",108,18624,1,14,14,"2017-18",71.1538461538462
"1402",2017-10-30,"Minnesota Timberwolves",125,"Miami Heat",122,19600,0,-3,3,"2017-18",60.4651162790698
"1403",2017-10-30,"Denver Nuggets",110,"New York Knicks",116,19812,1,6,6,"2017-18",46.3414634146341
"1404",2017-10-30,"Philadelphia 76ers",115,"Houston Rockets",107,16714,0,-8,8,"2017-18",80.3921568627451
"1405",2017-10-30,"Charlotte Hornets",104,"Memphis Grizzlies",99,15771,0,-5,5,"2017-18",39.0243902439024
"1406",2017-10-30,"Orlando Magic",115,"New Orleans Pelicans",99,14004,0,-16,16,"2017-18",60
"1407",2017-10-30,"Dallas Mavericks",89,"Utah Jazz",104,16221,1,15,15,"2017-18",67.3913043478261
"1408",2017-10-30,"Toronto Raptors",99,"Portland Trail Blazers",85,18505,0,-14,14,"2017-18",65.1162790697674
"1409",2017-10-30,"Golden State Warriors",141,"Los Angeles Clippers",113,19068,0,-28,28,"2017-18",53.6585365853659
"1410",2017-10-31,"Sacramento Kings",83,"Indiana Pacers",101,12245,1,18,18,"2017-18",65.9090909090909
"1411",2017-10-31,"Phoenix Suns",122,"Brooklyn Nets",114,12936,0,-8,8,"2017-18",36.5853658536585
"1412",2017-10-31,"Oklahoma City Thunder",110,"Milwaukee Bucks",91,16713,0,-19,19,"2017-18",63.6363636363636
"1413",2017-10-31,"Detroit Pistons",93,"Los Angeles Lakers",113,17569,1,20,20,"2017-18",48.780487804878
"1414",2017-11-01,"Milwaukee Bucks",121,"Charlotte Hornets",126,15655,1,5,5,"2017-18",51.219512195122
"1415",2017-11-01,"Indiana Pacers",124,"Cleveland Cavaliers",107,20562,0,-17,17,"2017-18",71.1538461538462
"1416",2017-11-01,"Atlanta Hawks",109,"Philadelphia 76ers",119,20549,1,10,10,"2017-18",71.7391304347826
"1417",2017-11-01,"Phoenix Suns",122,"Washington Wizards",116,14790,0,-6,6,"2017-18",56.8181818181818
"1418",2017-11-01,"Sacramento Kings",86,"Boston Celtics",113,18624,1,27,27,"2017-18",71.1538461538462
"1419",2017-11-01,"Chicago Bulls",91,"Miami Heat",97,19600,1,6,6,"2017-18",60.4651162790698
"1420",2017-11-01,"Orlando Magic",101,"Memphis Grizzlies",99,15434,0,-2,2,"2017-18",39.0243902439024
"1421",2017-11-01,"Minnesota Timberwolves",104,"New Orleans Pelicans",98,14788,0,-6,6,"2017-18",60
"1422",2017-11-01,"Houston Rockets",119,"New York Knicks",97,18320,0,-22,22,"2017-18",46.3414634146341
"1423",2017-11-01,"Toronto Raptors",111,"Denver Nuggets",129,14072,1,18,18,"2017-18",75.609756097561
"1424",2017-11-01,"Portland Trail Blazers",103,"Utah Jazz",112,16685,1,9,9,"2017-18",67.3913043478261
"1425",2017-11-01,"Dallas Mavericks",98,"Los Angeles Clippers",119,13487,1,21,21,"2017-18",53.6585365853659
"1426",2017-11-02,"Golden State Warriors",112,"San Antonio Spurs",92,18418,0,-20,20,"2017-18",79.0697674418605
"1427",2017-11-02,"Los Angeles Lakers",110,"Portland Trail Blazers",113,19469,1,3,3,"2017-18",65.1162790697674
"1428",2017-11-03,"Milwaukee Bucks",96,"Detroit Pistons",105,17207,1,9,9,"2017-18",60.9756097560976
"1429",2017-11-03,"Chicago Bulls",105,"Orlando Magic",83,19171,0,-22,22,"2017-18",41.4634146341463
"1430",2017-11-03,"Indiana Pacers",110,"Philadelphia 76ers",121,20668,1,11,11,"2017-18",71.7391304347826
"1431",2017-11-03,"Cleveland Cavaliers",130,"Washington Wizards",122,20356,0,-8,8,"2017-18",56.8181818181818
"1432",2017-11-03,"Houston Rockets",119,"Atlanta Hawks",104,14087,0,-15,15,"2017-18",39.0243902439024
"1433",2017-11-03,"Phoenix Suns",107,"New York Knicks",120,19404,1,13,13,"2017-18",46.3414634146341
"1434",2017-11-03,"New Orleans Pelicans",99,"Dallas Mavericks",94,19894,0,-5,5,"2017-18",36.5853658536585
"1435",2017-11-03,"Charlotte Hornets",101,"San Antonio Spurs",108,18418,1,7,7,"2017-18",79.0697674418605
"1436",2017-11-03,"Miami Heat",94,"Denver Nuggets",95,15317,1,1,1,"2017-18",75.609756097561
"1437",2017-11-03,"Toronto Raptors",109,"Utah Jazz",100,16258,0,-9,9,"2017-18",67.3913043478261
"1438",2017-11-03,"Boston Celtics",101,"Oklahoma City Thunder",94,18203,0,-7,7,"2017-18",65.9090909090909
"1439",2017-11-03,"Brooklyn Nets",112,"Los Angeles Lakers",124,18997,1,12,12,"2017-18",48.780487804878
"1440",2017-11-04,"Memphis Grizzlies",113,"Los Angeles Clippers",104,14777,0,-9,9,"2017-18",53.6585365853659
"1441",2017-11-04,"Sacramento Kings",99,"Detroit Pistons",108,17683,1,9,9,"2017-18",60.9756097560976
"1442",2017-11-04,"New Orleans Pelicans",96,"Chicago Bulls",90,21254,0,-6,6,"2017-18",41.4634146341463
"1443",2017-11-04,"Dallas Mavericks",99,"Minnesota Timberwolves",112,16837,1,13,13,"2017-18",72.0930232558139
"1444",2017-11-04,"Golden State Warriors",127,"Denver Nuggets",108,19711,0,-19,19,"2017-18",75.609756097561
"1445",2017-11-05,"Atlanta Hawks",117,"Cleveland Cavaliers",115,20562,0,-2,2,"2017-18",71.1538461538462
"1446",2017-11-05,"Miami Heat",104,"Los Angeles Clippers",101,15676,0,-3,3,"2017-18",53.6585365853659
"1447",2017-11-05,"Boston Celtics",104,"Orlando Magic",88,17731,0,-16,16,"2017-18",41.4634146341463
"1448",2017-11-05,"Washington Wizards",107,"Toronto Raptors",96,19800,0,-11,11,"2017-18",80.4347826086957
"1449",2017-11-05,"Utah Jazz",110,"Houston Rockets",137,16914,1,27,27,"2017-18",80.3921568627451
"1450",2017-11-05,"Phoenix Suns",95,"San Antonio Spurs",112,18038,1,17,17,"2017-18",79.0697674418605
