"","urls","home","away"
"1393","https://www.basketball-reference.com/boxscores/201710280LAC.html","LAC","DET"
"1394","https://www.basketball-reference.com/boxscores/201710290ATL.html","ATL","MIL"
"1395","https://www.basketball-reference.com/boxscores/201710290IND.html","IND","SAS"
"1396","https://www.basketball-reference.com/boxscores/201710290BRK.html","BRK","DEN"
"1397","https://www.basketball-reference.com/boxscores/201710290CHO.html","CHO","ORL"
"1398","https://www.basketball-reference.com/boxscores/201710290SAC.html","SAC","WAS"
"1399","https://www.basketball-reference.com/boxscores/201710290CLE.html","CLE","NYK"
"1400","https://www.basketball-reference.com/boxscores/201710290GSW.html","GSW","DET"
"1401","https://www.basketball-reference.com/boxscores/201710300BOS.html","BOS","SAS"
"1402","https://www.basketball-reference.com/boxscores/201710300MIA.html","MIA","MIN"
"1403","https://www.basketball-reference.com/boxscores/201710300NYK.html","NYK","DEN"
"1404","https://www.basketball-reference.com/boxscores/201710300HOU.html","HOU","PHI"
"1405","https://www.basketball-reference.com/boxscores/201710300MEM.html","MEM","CHO"
"1406","https://www.basketball-reference.com/boxscores/201710300NOP.html","NOP","ORL"
"1407","https://www.basketball-reference.com/boxscores/201710300UTA.html","UTA","DAL"
"1408","https://www.basketball-reference.com/boxscores/201710300POR.html","POR","TOR"
"1409","https://www.basketball-reference.com/boxscores/201710300LAC.html","LAC","GSW"
"1410","https://www.basketball-reference.com/boxscores/201710310IND.html","IND","SAC"
"1411","https://www.basketball-reference.com/boxscores/201710310BRK.html","BRK","PHO"
"1412","https://www.basketball-reference.com/boxscores/201710310MIL.html","MIL","OKC"
"1413","https://www.basketball-reference.com/boxscores/201710310LAL.html","LAL","DET"
"1414","https://www.basketball-reference.com/boxscores/201711010CHO.html","CHO","MIL"
